date,mice,weight
30/08/2021,234,27.5
30/08/2021,235,29.1
30/08/2021,236,27.3
30/08/2021,243,23.5
30/08/2021,244,27.01
30/08/2021,245,20.57
30/08/2021,246,23.65
30/08/2021,263,26.2
30/08/2021,264,26.34
30/08/2021,265,24.48
01/09/21,234,27.8
01/09/21,235,29.61
01/09/21,236,27.22
01/09/21,243,24.13
01/09/21,244,25.77
01/09/21,245,21.12
01/09/21,246,23.58
01/09/21,263,24.58
01/09/21,264,26.12
01/09/21,265,24.38
03/09/21,234,27.75
03/09/21,235,29.11
03/09/21,236,27.2
03/09/21,243,23.76
03/09/21,244,26.66
03/09/21,245,21.17
03/09/21,246,24
03/09/21,263,25.03
03/09/21,264,26.08
03/09/21,265,24.5
06/09/21,234,28.86
06/09/21,235,30.01
06/09/21,236,27.48
06/09/21,243,23.4
06/09/21,244,28.01
06/09/21,245,21.56
06/09/21,246,24.55
06/09/21,263,25.71
06/09/21,264,26.6
06/09/21,265,25.22
08/09/21,234,29.01
08/09/21,235,31.15
08/09/21,236,27.98
08/09/21,243,24.12
08/09/21,244,28.4
08/09/21,245,21.44
08/09/21,246,24.47
08/09/21,263,25.85
08/09/21,264,26.5
08/09/21,265,25.41
10/09/21,234,29.43
10/09/21,235,29.86
10/09/21,236,27.3
10/09/21,243,24.31
10/09/21,244,28.74
10/09/21,245,21.58
10/09/21,246,24.92
10/09/21,263,26
10/09/21,264,26.79
10/09/21,265,25.79
13/09/21,234,30.12
13/09/21,235,27.82
13/09/21,236,28.82
13/09/21,243,24.27
13/09/21,244,27.93
13/09/21,245,20.66
13/09/21,246,24.71
13/09/21,263,24.58
13/09/21,264,26.49
13/09/21,265,25.61
24/08/2021,234,27
24/08/2021,235,29.7
24/08/2021,236,27.3
24/08/2021,243,22.9
24/08/2021,244,26.11
24/08/2021,245,20.05
24/08/2021,246,21.05
24/08/2021,263,26.96
24/08/2021,264,25.44
24/08/2021,265,24.26
25/082021,234,27.34
25/082021,235,29.19
25/082021,236,27.03
25/082021,243,22.84
25/082021,244,25.12
25/082021,245,19.54
25/082021,246,21.01
25/082021,263,25.14
25/082021,264,25.05
25/082021,265,24.02
27/08/2021,234,26.66
27/08/2021,235,27.46
27/08/2021,236,27.72
27/08/2021,243,23.91
27/08/2021,244,25.9
27/08/2021,245,20.97
27/08/2021,246,22.17
27/08/2021,263,25.34
27/08/2021,264,26.52
27/08/2021,265,24.22
15/09/2021,234,28.68
15/08/2021,235,28.18
15/09/2021,236,29.32
15/09/2021,243,22.4
15/09/2021,244,27.1
15/09/2021,245,20.98
15/09/2021,246,24.46
15/09/2021,263,26.05
15/09/2021,264,26.94
15/09/2021,265,25.5
17/09/2021,234,30.22
17/09/2021,235,31.03
17/09/2021,236,29.8
17/09/2021,243,23.91
17/09/2021,244,27.3
17/09/2021,245,21.3
17/09/2021,246,24.33
17/09/2021,263,26.07
17/09/2021,264,26.86
17/09/2021,265,25.5
20/09/2021,234,31.6
20/09/2021,235,28.46
20/09/2021,236,29.76
20/09/2021,243,24.5
20/09/2021,244,29.64
20/09/2021,245,20.5
20/09/2021,246,24.32
20/09/2021,263,25.05
20/09/2021,264,26.81
20/09/2021,265,25.32
22/09/2021,234,32.23
22/09/2021,235,31.7
22/09/2021,236,30.18
22/09/2021,243,24.71
22/09/2021,244,29.6
22/09/2021,245,21.71
22/09/2021,246,24.1
22/09/2021,263,25.43
22/09/2021,264,26.3
22/09/2021,265,25
29/09/2021,234,32.99
29/09/2021,235,33.9
29/09/2021,236,31.14
29/09/2021,243,24.65
29/09/2021,244,29.63
29/09/2021,245,21.61
29/09/2021,246,22.37
29/09/2021,263,25.64
29/09/2021,264,26.91
29/09/2021,265,25.94
24/09/2021,234,32.2
24/09/2021,235,31.46
24/09/2021,236,30.43
24/09/2021,243,24.8
24/09/2021,244,30.04
24/09/2021,245,21.51
24/09/2021,246,23.12
24/09/2021,263,26.14
24/09/2021,264,26.89
24/09/2021,265,24.8
27/09/2021,234,32.33
27/09/2021,235,31.11
27/09/2021,236,30.57
27/09/2021,243,24.37
27/09/2021,244,29.28
27/09/2021,245,20.68
27/09/2021,246,22.34
27/09/2021,263,25.41
27/09/2021,264,26.06
27/09/2021,265,24.66
